"Gruppe";"KredsNr";"StorKredsNr";"LandsdelsNr";"KV2017 - Stemmeberettigede";"KV2017 - Afgivne stemmer";"KV2017 - Blanke stemmer";"KV2017 - Andre ugyldige stemmer";"KV2017 - Gyldige stemmer";"KV2017 - A";"KV2017 - B";"KV2017 - C";"KV2017 - F";"KV2017 - I";"KV2017 - J";"KV2017 - K";"KV2017 - M";"KV2017 - G";"KV2017 - N";"KV2017 - O";"KV2017 - H";"KV2017 - S";"KV2017 - V";"KV2017 - U";"KV2017 - Z";"KV2017 - Ø";"KV2017 - L";"KV2017 - Å";"KV2017 - R";"KV2017 - D";"KV2017 - P";"KV2017 - E";"KV2017 - Q";"KV2017 - Å1";"KV2017 - K2";"KV2017 - K1";"KV2017 - Æ";"KV2017 - W";"KV2017 - Y";"KV2017 - T"
"730005";"67";"8";"3";"37971";"26628";"333";"78";"26217";"10443";"712";"1127";"1065";"379";"-";"137";"68";"-";"30";"2213";"41";"-";"6225";"-";"-";"554";"1459";"264";"185";"145";"-";"11";"-";"-";"-";"-";"1159";"-";"-";"-"
"730034";"68";"8";"3";"39685";"28239";"350";"82";"27807";"9953";"785";"1079";"1224";"484";"-";"249";"47";"-";"30";"2280";"29";"-";"7888";"-";"-";"588";"1270";"385";"302";"181";"-";"13";"-";"-";"-";"-";"1020";"-";"-";"-"
"740002";"77";"9";"3";"33839";"25391";"284";"51";"25056";"7340";"868";"1082";"1587";"976";"-";"337";"-";"30";"-";"1848";"-";"-";"9039";"-";"-";"1012";"80";"493";"-";"-";"-";"-";"-";"-";"-";"-";"47";"-";"-";"317"
"740021";"78";"9";"3";"36729";"27300";"339";"77";"26884";"8272";"1308";"1232";"2158";"918";"-";"125";"-";"39";"-";"1386";"-";"-";"7991";"-";"-";"1863";"144";"784";"-";"-";"-";"-";"-";"-";"-";"-";"136";"-";"-";"528"
"746005";"70";"8";"3";"65842";"51302";"528";"92";"50682";"17262";"3074";"3212";"3336";"1246";"55";"-";"153";"15";"-";"3936";"-";"-";"14319";"7";"-";"2381";"-";"1414";"-";"272";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"751003";"62";"8";"3";"70047";"52092";"626";"114";"51352";"19122";"3878";"2435";"4467";"2226";"-";"243";"-";"-";"72";"3159";"-";"-";"9076";"-";"-";"3396";"18";"2461";"54";"572";"15";"132";"-";"-";"-";"-";"-";"-";"-";"26"
"751023";"64";"8";"3";"69632";"47997";"757";"169";"47071";"18334";"4141";"1594";"4744";"1928";"-";"482";"-";"-";"119";"2741";"-";"-";"5831";"-";"-";"3792";"20";"2666";"89";"462";"15";"100";"-";"-";"-";"-";"-";"-";"-";"13"
"751024";"63";"8";"3";"68321";"45156";"562";"203";"44391";"17751";"3842";"1766";"3599";"1337";"-";"390";"-";"-";"200";"3827";"-";"-";"6429";"-";"-";"2880";"16";"1613";"63";"552";"13";"89";"-";"-";"-";"-";"-";"-";"-";"24"
"751048";"65";"8";"3";"65499";"47512";"624";"162";"46726";"16388";"3754";"2248";"4721";"2295";"-";"282";"-";"-";"63";"2447";"-";"-";"7715";"-";"-";"3499";"18";"2587";"69";"498";"10";"118";"-";"-";"-";"-";"-";"-";"-";"14"
"756014";"79";"9";"3";"31587";"22914";"251";"98";"22565";"5178";"334";"2920";"724";"285";"-";"-";"-";"-";"-";"2982";"-";"-";"8135";"-";"-";"-";"1896";"-";"-";"-";"-";"-";"-";"-";"-";"-";"111";"-";"-";"-"
"760025";"83";"9";"3";"44101";"32989";"300";"67";"32622";"6945";"339";"565";"3100";"817";"1058";"5048";"-";"-";"-";"2191";"-";"-";"12032";"-";"131";"396";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"766015";"72";"8";"3";"35752";"26843";"263";"92";"26488";"7378";"304";"407";"1036";"473";"-";"1153";"-";"-";"-";"4379";"-";"-";"10561";"-";"-";"542";"-";"255";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"773010";"87";"10";"3";"51082";"38448";"405";"123";"37920";"12269";"-";"4526";"1105";"1167";"-";"243";"720";"25";"-";"3870";"-";"-";"11616";"-";"-";"1502";"-";"783";"-";"94";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"779006";"74";"9";"3";"36982";"27816";"317";"76";"27423";"8421";"913";"591";"1493";"305";"-";"-";"2412";"-";"-";"2160";"-";"-";"9964";"-";"-";"373";"-";"265";"-";"-";"-";"526";"-";"-";"-";"-";"-";"-";"-";"-"
"791007";"75";"9";"3";"40654";"29334";"311";"90";"28933";"8995";"835";"6087";"1344";"357";"-";"96";"-";"-";"-";"1661";"15";"-";"8155";"-";"-";"766";"-";"622";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"791010";"76";"9";"3";"34079";"25471";"203";"73";"25195";"6714";"545";"3990";"1471";"257";"-";"237";"-";"-";"-";"1714";"30";"-";"9331";"-";"-";"506";"-";"400";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"810002";"86";"10";"3";"58426";"43180";"437";"74";"42669";"12606";"631";"2042";"1414";"304";"1334";"232";"-";"-";"-";"3763";"-";"-";"17340";"-";"-";"1115";"-";"623";"-";"537";"-";"-";"-";"-";"-";"-";"-";"-";"-";"728"
"813003";"84";"10";"3";"50617";"36347";"259";"133";"35955";"20800";"-";"1184";"1282";"595";"-";"160";"-";"-";"-";"3142";"-";"-";"7022";"-";"-";"680";"246";"271";"-";"497";"-";"-";"-";"-";"-";"-";"-";"-";"76";"-"
"840001";"88";"10";"3";"51749";"38805";"392";"117";"38296";"7308";"2478";"7731";"2397";"506";"310";"-";"-";"1178";"-";"2926";"38";"-";"9808";"-";"-";"553";"2731";"252";"40";"-";"-";"40";"-";"-";"-";"-";"-";"-";"-";"-"
"846022";"89";"10";"3";"33435";"23777";"283";"74";"23420";"8600";"661";"726";"707";"506";"-";"204";"-";"-";"-";"2621";"-";"-";"8343";"-";"-";"526";"-";"526";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"851011";"92";"10";"3";"55301";"36027";"486";"110";"35431";"16716";"917";"1175";"1054";"759";"-";"178";"-";"288";"11";"2403";"-";"-";"8116";"-";"-";"2159";"-";"618";"-";"262";"-";"775";"-";"-";"-";"-";"-";"-";"-";"-"
"851038";"91";"10";"3";"51184";"36369";"390";"75";"35904";"16823";"1221";"1874";"984";"829";"-";"178";"-";"97";"10";"2234";"-";"-";"8382";"-";"-";"2254";"-";"619";"-";"255";"-";"144";"-";"-";"-";"-";"-";"-";"-";"-"
